District,pop 2015,pop 2016,pop 2017,pop 2018,pop 2019,growth- rate 2016,growth- rate 2017,growth- rate 2018,growth- rate 2019
Mueang Chiang Mai District,235589,234837,234649,234870,233632,-0.32,-0.08,0.09,-0.53
Chom Thong District,66738,66811,66792,66729,66729,0.11,-0.03,-0.09,0
Mae Chaem District,59145,59515,59728,60180,60179,0.62,0.36,0.75,0
Chiang Dao District,91457,91829,92588,93128,96494,0.41,0.82,0.58,3.55
Doi Saket District,71316,72064,72571,73220,74172,1.04,0.7,0.89,1.29
Mae Taeng District,75893,75699,75790,76512,80303,-0.26,0.12,0.95,4.84
Mae Rim District,90706,91558,93185,94260,94337,0.93,1.76,1.15,0.08
Samoeng District,23580,23642,23690,23737,23780,0.26,0.2,0.2,0.18
Fang District,117589,118075,118324,119635,120759,0.41,0.21,1.1,0.94
Mae Ai District,77533,77778,78300,78423,78565,0.32,0.67,0.16,0.18
Phrao District,49463,49258,49120,48882,48514,-0.42,-0.28,-0.49,-0.76
San Pa Tong District,75329,75290,75416,75233,75097,-0.05,0.17,-0.24,-0.18
San Kamphaeng District,82906,84327,85563,86457,87640,1.7,1.46,1.04,1.36
San Sai District,130251,131414,133063,134574,135964,0.89,1.25,1.13,1.03
Hang Dong District,85175,86435,87890,88926,90128,1.47,1.67,1.17,1.34
Hot District,43809,43803,43849,43930,43756,-0.01,0.1,0.18,-0.4
Doi Tao District,27458,27393,27406,27404,27395,-0.24,0.05,-0.01,-0.03
Omkoi District,61899,62317,62833,63224,63610,0.67,0.82,0.62,0.61
Saraphi District,81156,82247,83504,84626,85565,1.34,1.52,1.33,1.1
Wiang Haeng District,44305,44563,45149,51771,52030,0.58,1.31,13.69,0.5
Chai Prakan District,45954,45962,46013,46517,49239,0.02,0.11,1.09,5.69
Mae Wang District,31695,31625,31834,31827,31883,-0.22,0.66,-0.02,0.18
Mae On District,21287,21296,21266,21315,21184,0.04,-0.14,0.23,-0.62
Doi Lo District,26041,25931,26052,25919,25689,-0.42,0.47,-0.51,-0.89
Galyani Vadhana District,11968,12093,12265,12443,12610,1.04,1.41,1.44,1.33
