District,Beef cattle,Dairy cattle,Buffalo,Swine,Chicken,Duck,Goat,Sheep
Total,155527.00,40187.00,37409.00,426372.00,7097681.00,66560.00,1089.00,180.00
Mueang district,377.00, - ,43.00,122.00,86498.00,1356.00,61.00,50.00
Chomthong,7070.00,43.00,2137.00,8038.00,311383.00,508.00,80.00,16.00
Maechaem,33500.00, - ,1012.00,12879.00,111137.00, - , - , - 
Chiangdao,3159.00, - ,3253.00,12819.00,215250.00,3989.00,47.00, - 
Doisaket,3604.00,280.00,285.00,3756.00,462116.00,5614.00,185.00, - 
Maetaeng,4085.00,154.00,1658.00,69713.00,262213.00,3575.00,31.00,35.00
Maerim,1838.00,496.00,325.00,87803.00,131192.00,1215.00,96.00,20.00
Samoeng,4929.00, - ,931.00,3123.00,36241.00,188.00, - , - 
Fang,530.00,541.00,671.00,9557.00,131171.00,9353.00, - , - 
Maeai,11843.00, - ,4366.00,97409.00,577141.00,1541.00, - , - 
Phrao,1848.00, - ,299.00,6963.00,433976.00,1157.00, - , - 
Sanpatong,1844.00,4862.00,54.00,6500.00,900073.00,8552.00, - , - 
Sankamphaeng,2039.00,4231.00,177.00,10097.00,636716.00,6267.00,93.00,7.00
Sanaai,2586.00,3026.00,318.00,782.00,1550525.00,3642.00,120.00,9.00
Hangdong,1304.00, - ,88.00,1757.00,428602.00,1601.00, - , - 
Hot,17866.00, - ,5382.00,2510.00,15714.00, - , - , - 
Doitao,12586.00,290.00,1296.00,1931.00,102005.00,220.00,9.00,15.00
Omkoi,28684.00, - ,7327.00,17943.00,101275.00,735.00,6.00, - 
Saraphi,551.00,218.00,68.00,3876.00,145239.00,10082.00,122.00,8.00
Wianghaeng,2399.00, - ,2236.00,2225.00,11537.00,300.00, - , - 
Dhaiprakan,271.00,11227.00,205.00,2573.00,38288.00,231.00, - , - 
Maewang,2774.00,1417.00,1467.00,8950.00,226276.00,666.00, - , - 
Maeon,3914.00,11831.00,654.00,4069.00,72569.00,536.00,24.00,20.00
Doilaw,1754.00,1571.00,18.00,48712.00,100993.00,5232.00,215.00, - 
Kallayaniwatthana,4172.00, - ,3139.00,2265.00,9551.00, - , - , - 
